"1","program"
"2","begin"
"3","end"
"4","int"
"5","if"
"6","then"
"7","else"
"8","while"
"9","loop"
"10","read"
"11","write"
"12",";"
"13",","
"14","="
"15","!"
"16","["
"17","]"
"18","&&"
"19","||"
"20","("
"21",")"
"22","+"
"23","-"
"24","*"
"25","!="
"26","=="
"27","<"
"28",">"
"29","<="
"30",">="
"31","integer"
"32","id"
"33","EOF"
"program","1"
"begin","2"
"end","3"
"int","4"
"if","5"
"then","6"
"else","7"
"while","8"
"loop","9"
"read","10"
"write","11"
";","12"
",","13"
"=","14"
"!","15"
"[","16"
"]","17"
"&&","18"
"||","19"
"(","20"
")","21"
"+","22"
"-","23"
"*","24"
"!=","25"
"==","26"
"<","27"
">","28"
"<=","29"
">=","30"
"integer","31"
"id","32"
"EOF","33"
